,spi,spi,spi,spi,spi,spi,spi,spi,spi,spi
2000/10/1,88,88,105.4,103,101,100,100,100,100,100
2000/11/1,88,105.4,103,101,100,100,100,100,100,98.5
2000/12/1,105.4,103,101,100,100,100,100,100,98.5,97.2
2001/1/1,103,101,100,100,100,100,100,98.5,97.2,94.25
2001/2/1,101,100,100,100,100,100,98.5,97.2,94.25,95.25
2001/3/1,100,100,100,100,100,98.5,97.2,94.25,95.25,96.2
2001/4/1,100,100,100,100,98.5,97.2,94.25,95.25,96.2,96
2001/5/1,100,100,100,98.5,97.2,94.25,95.25,96.2,96,95.5
2001/6/1,100,100,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6
2001/7/1,100,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,92
2001/8/1,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,92,90.2
2001/9/1,97.2,94.25,95.25,96.2,96,95.5,93.6,92,90.2,88.25
2001/10/1,94.25,95.25,96.2,96,95.5,93.6,92,90.2,88.25,86.5
2001/11/1,95.25,96.2,96,95.5,93.6,92,90.2,88.25,86.5,83.8
2001/12/1,96.2,96,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5
2002/1/1,96,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75
2002/2/1,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25
2002/3/1,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4
2002/4/1,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5
2002/5/1,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2
2002/6/1,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75
2002/7/1,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25
2002/8/1,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8
2002/9/1,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5
2002/10/1,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25
2002/11/1,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4
2002/12/1,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25
2003/1/1,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110
2003/2/1,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,115
2003/3/1,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,115,114.75
2003/4/1,92.25,92.8,94.5,96.25,99.4,104.25,110,115,114.75,110.75
2003/5/1,92.8,94.5,96.25,99.4,104.25,110,115,114.75,110.75,109.8
2003/6/1,94.5,96.25,99.4,104.25,110,115,114.75,110.75,109.8,113.75
2003/7/1,96.25,99.4,104.25,110,115,114.75,110.75,109.8,113.75,124.25
2003/8/1,99.4,104.25,110,115,114.75,110.75,109.8,113.75,124.25,122
