,epu-s,spi,spi,spi,spi,spi,spi,spi,spi,spi
2000-10-01,71,88,105.4,103,101,100,100,100,100,100
2000-11-01,140,105.4,103,101,100,100,100,100,100,98.5
2000-12-01,113,103,101,100,100,100,100,100,98.5,97.2
2001-01-01,97,101,100,100,100,100,100,98.5,97.2,94.25
2001-02-01,65,100,100,100,100,100,98.5,97.2,94.25,95.25
2001-03-01,115,100,100,100,100,98.5,97.2,94.25,95.25,96.2
2001-04-01,107,100,100,100,98.5,97.2,94.25,95.25,96.2,96
2001-05-01,96,100,100,98.5,97.2,94.25,95.25,96.2,96,95.5
2001-06-01,54,100,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6
2001-07-01,118,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,92
2001-08-01,131,97.2,94.25,95.25,96.2,96,95.5,93.6,92,90.2
2001-09-01,203,94.25,95.25,96.2,96,95.5,93.6,92,90.2,88.25
2001-10-01,297,95.25,96.2,96,95.5,93.6,92,90.2,88.25,86.5
2001-11-01,129,96.2,96,95.5,93.6,92,90.2,88.25,86.5,83.8
2001-12-01,137,96,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5
2002-01-01,160,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75
2002-02-01,164,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25
2002-03-01,140,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4
2002-04-01,117,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5
2002-05-01,34,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2
2002-06-01,117,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75
2002-07-01,88,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25
2002-08-01,141,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8
2002-09-01,189,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5
2002-10-01,148,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25
2002-11-01,110,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4
2002-12-01,85,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25
2003-01-01,142,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110
2003-02-01,89,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,115
2003-03-01,185,92.25,92.8,94.5,96.25,99.4,104.25,110,115,114.75
2003-04-01,124,92.8,94.5,96.25,99.4,104.25,110,115,114.75,110.75
2003-05-01,102,94.5,96.25,99.4,104.25,110,115,114.75,110.75,109.8
2003-06-01,87,96.25,99.4,104.25,110,115,114.75,110.75,109.8,113.75
2003-07-01,92,99.4,104.25,110,115,114.75,110.75,109.8,113.75,124.25
2003-08-01,89,104.25,110,115,114.75,110.75,109.8,113.75,124.25,122
2003-09-01,128,110,115,114.75,110.75,109.8,113.75,124.25,122,119
2003-10-01,107,115,114.75,110.75,109.8,113.75,124.25,122,119,123
2003-11-01,37,114.75,110.75,109.8,113.75,124.25,122,119,123,131.25
2003-12-01,97,110.75,109.8,113.75,124.25,122,119,123,131.25,141.25
2004-01-01,101,109.8,113.75,124.25,122,119,123,131.25,141.25,147.2
2004-02-01,47,113.75,124.25,122,119,123,131.25,141.25,147.2,155.25
2004-03-01,85,124.25,122,119,123,131.25,141.25,147.2,155.25,156.25
2004-04-01,43,122,119,123,131.25,141.25,147.2,155.25,156.25,149
2004-05-01,138,119,123,131.25,141.25,147.2,155.25,156.25,149,130
2004-06-01,59,123,131.25,141.25,147.2,155.25,156.25,149,130,132.75
2004-07-01,50,131.25,141.25,147.2,155.25,156.25,149,130,132.75,140.4
2004-08-01,88,141.25,147.2,155.25,156.25,149,130,132.75,140.4,148
2004-09-01,92,147.2,155.25,156.25,149,130,132.75,140.4,148,148.25
2004-10-01,108,155.25,156.25,149,130,132.75,140.4,148,148.25,147.8
2004-11-01,94,156.25,149,130,132.75,140.4,148,148.25,147.8,147.75
2004-12-01,97,149,130,132.75,140.4,148,148.25,147.8,147.75,148.4
2005-01-01,76,130,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25
2005-02-01,33,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25
2005-03-01,99,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5
2005-04-01,50,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2
2005-05-01,105,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5
2005-06-01,43,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75
2005-07-01,36,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8
2005-08-01,93,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25
2005-09-01,68,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6
2005-10-01,33,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117
2005-11-01,87,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25
2005-12-01,57,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2
2006-01-01,84,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25
2006-02-01,65,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25,112
2006-03-01,84,133.8,134.25,127.6,117,113.25,110.2,109.25,112,121.4
2006-04-01,134,134.25,127.6,117,113.25,110.2,109.25,112,121.4,126
