,ave,spi,spi,spi,spi,spi,spi,spi,spi,spi,epu,epu,epu
2000-10-01,33.7,88,105.4,103,101,100,100,100,100,100,42.3,31.5,27.4
2000-11-01,28.0,105.4,103,101,100,100,100,100,100,98.5,10.1,42.3,31.5
2000-12-01,33.6,103,101,100,100,100,100,100,98.5,97.2,48.5,10.1,42.3
2001-01-01,37.1,101,100,100,100,100,100,98.5,97.2,94.25,52.6,48.5,10.1
2001-02-01,47.3,100,100,100,100,100,98.5,97.2,94.25,95.25,40.7,52.6,48.5
2001-03-01,50.5,100,100,100,100,98.5,97.2,94.25,95.25,96.2,58.2,40.7,52.6
2001-04-01,41.7,100,100,100,98.5,97.2,94.25,95.25,96.2,96,26.1,58.2,40.7
2001-05-01,37.3,100,100,98.5,97.2,94.25,95.25,96.2,96,95.5,27.7,26.1,58.2
2001-06-01,31.7,100,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,41.3,27.7,26.1
2001-07-01,33.1,98.5,97.2,94.25,95.25,96.2,96,95.5,93.6,92,30.3,41.3,27.7
2001-08-01,36.8,97.2,94.25,95.25,96.2,96,95.5,93.6,92,90.2,38.8,30.3,41.3
2001-09-01,37.5,94.25,95.25,96.2,96,95.5,93.6,92,90.2,88.25,43.5,38.8,30.3
2001-10-01,44.5,95.25,96.2,96,95.5,93.6,92,90.2,88.25,86.5,51.1,43.5,38.8
2001-11-01,49.3,96.2,96,95.5,93.6,92,90.2,88.25,86.5,83.8,53.3,51.1,43.5
2001-12-01,55.0,96,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,60.7,53.3,51.1
2002-01-01,58.8,95.5,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,62.4,60.7,53.3
2002-02-01,54.7,93.6,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,40.9,62.4,60.7
2002-03-01,52.5,92,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,54.1,40.9,62.4
2002-04-01,47.0,90.2,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,45.9,54.1,40.9
2002-05-01,49.0,88.25,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,47.0,45.9,54.1
2002-06-01,41.1,86.5,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,30.4,47.0,45.9
2002-07-01,43.9,83.8,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,54.3,30.4,47.0
2002-08-01,42.9,81.5,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,44.1,54.3,30.4
2002-09-01,51.3,81.75,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,55.5,44.1,54.3
2002-10-01,52.1,83.25,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,56.7,55.5,44.1
2002-11-01,57.3,86.4,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,59.9,56.7,55.5
2002-12-01,69.2,88.5,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,91.0,59.9,56.7
2003-01-01,65.7,93.2,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,46.2,91.0,59.9
2003-02-01,55.1,93.75,92.25,92.8,94.5,96.25,99.4,104.25,110,115,28.0,46.2,91.0
2003-03-01,48.4,92.25,92.8,94.5,96.25,99.4,104.25,110,115,114.75,71.2,28.0,46.2
2003-04-01,66.9,92.8,94.5,96.25,99.4,104.25,110,115,114.75,110.75,101.6,71.2,28.0
2003-05-01,80.5,94.5,96.25,99.4,104.25,110,115,114.75,110.75,109.8,68.8,101.6,71.2
2003-06-01,75.1,96.25,99.4,104.25,110,115,114.75,110.75,109.8,113.75,55.0,68.8,101.6
2003-07-01,69.7,99.4,104.25,110,115,114.75,110.75,109.8,113.75,124.25,85.3,55.0,68.8
2003-08-01,67.1,104.25,110,115,114.75,110.75,109.8,113.75,124.25,122,61.1,85.3,55.0
2003-09-01,65.4,110,115,114.75,110.75,109.8,113.75,124.25,122,119,49.7,61.1,85.3
2003-10-01,57.9,115,114.75,110.75,109.8,113.75,124.25,122,119,123,62.9,49.7,61.1
2003-11-01,50.5,114.75,110.75,109.8,113.75,124.25,122,119,123,131.25,38.9,62.9,49.7
2003-12-01,51.6,110.75,109.8,113.75,124.25,122,119,123,131.25,141.25,53.1,38.9,62.9
2004-01-01,49.3,109.8,113.75,124.25,122,119,123,131.25,141.25,147.2,55.9,53.1,38.9
2004-02-01,55.5,113.75,124.25,122,119,123,131.25,141.25,147.2,155.25,57.6,55.9,53.1
2004-03-01,53.8,124.25,122,119,123,131.25,141.25,147.2,155.25,156.25,47.9,57.6,55.9
2004-04-01,54.8,122,119,123,131.25,141.25,147.2,155.25,156.25,149,58.9,47.9,57.6
2004-05-01,48.0,119,123,131.25,141.25,147.2,155.25,156.25,149,130,37.1,58.9,47.9
2004-06-01,49.0,123,131.25,141.25,147.2,155.25,156.25,149,130,132.75,51.1,37.1,58.9
2004-07-01,45.2,131.25,141.25,147.2,155.25,156.25,149,130,132.75,140.4,47.4,51.1,37.1
2004-08-01,47.6,141.25,147.2,155.25,156.25,149,130,132.75,140.4,148,44.3,47.4,51.1
2004-09-01,42.1,147.2,155.25,156.25,149,130,132.75,140.4,148,148.25,34.6,44.3,47.4
2004-10-01,46.9,155.25,156.25,149,130,132.75,140.4,148,148.25,147.8,61.9,34.6,44.3
2004-11-01,48.4,156.25,149,130,132.75,140.4,148,148.25,147.8,147.75,48.7,61.9,34.6
2004-12-01,61.3,149,130,132.75,140.4,148,148.25,147.8,147.75,148.4,73.2,48.7,61.9
2005-01-01,56.9,130,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25,48.8,73.2,48.7
2005-02-01,53.9,132.75,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25,39.7,48.8,73.2
2005-03-01,43.2,140.4,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5,41.2,39.7,48.8
2005-04-01,53.4,148,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2,79.5,41.2,39.7
2005-05-01,48.1,148.25,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5,23.7,79.5,41.2
2005-06-01,50.0,147.8,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75,46.8,23.7,79.5
2005-07-01,44.0,147.75,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8,61.6,46.8,23.7
2005-08-01,55.9,148.4,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25,59.4,61.6,46.8
2005-09-01,63.7,154.25,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6,70.0,59.4,61.6
2005-10-01,60.6,156.25,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117,52.5,70.0,59.4
2005-11-01,52.7,163.5,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25,35.5,52.5,70.0
2005-12-01,50.7,158.2,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2,64.1,35.5,52.5
2006-01-01,65.8,151.5,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25,97.8,64.1,35.5
2006-02-01,75.1,137.75,133.8,134.25,127.6,117,113.25,110.2,109.25,112,63.5,97.8,64.1
2006-03-01,72.1,133.8,134.25,127.6,117,113.25,110.2,109.25,112,121.4,55.1,63.5,97.8
2006-04-01,59.3,134.25,127.6,117,113.25,110.2,109.25,112,121.4,126,59.4,55.1,63.5
2006-05-01,50.8,127.6,117,113.25,110.2,109.25,112,121.4,126,130,37.9,59.4,55.1
2006-06-01,48.1,117,113.25,110.2,109.25,112,121.4,126,130,140.2,47.0,37.9,59.4
2006-07-01,46.9,113.25,110.2,109.25,112,121.4,126,130,140.2,125.5,55.9,47.0,37.9
2006-08-01,54.0,110.2,109.25,112,121.4,126,130,140.2,125.5,123.5,59.3,55.9,47.0
2006-09-01,46.7,109.25,112,121.4,126,130,140.2,125.5,123.5,125.8,24.9,59.3,55.9
2006-10-01,51.7,112,121.4,126,130,140.2,125.5,123.5,125.8,125.25,70.8,24.9,59.3
2006-11-01,51.6,121.4,126,130,140.2,125.5,123.5,125.8,125.25,123.75,59.0,70.8,24.9
2006-12-01,64.7,126,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4,64.1,59.0,70.8
2007-01-01,50.7,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5,29.0,64.1,59.0
2007-02-01,44.3,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75,39.8,29.0,64.1
2007-03-01,43.0,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66,60.2,39.8,29.0
2007-04-01,47.0,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425,41.1,60.2,39.8
2007-05-01,46.1,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55,37.0,41.1,60.2
2007-06-01,40.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84,44.4,37.0,41.1
2007-07-01,46.8,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25,58.8,44.4,37.0
2007-08-01,51.1,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86,50.1,58.8,44.4
2007-09-01,56.0,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075,59.0,50.1,58.8
2007-10-01,54.8,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025,55.1,59.0,50.1
2007-11-01,53.6,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38,46.7,55.1,59.0
2007-12-01,61.9,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075,84.1,46.7,55.1
2008-01-01,70.9,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225,82.0,84.1,46.7
2008-02-01,73.5,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58,54.4,82.0,84.1
2008-03-01,90.8,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275,135.9,54.4,82.0
2008-04-01,94.0,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05,91.6,135.9,54.4
2008-05-01,98.4,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22,67.6,91.6,135.9
2008-06-01,74.0,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55,62.9,67.6,91.6
2008-07-01,85.5,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25,126.0,62.9,67.6
2008-08-01,105.8,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96,128.4,126.0,62.9
2008-09-01,119.5,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85,103.9,128.4,126.0
2008-10-01,127.6,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22,150.5,103.9,128.4
2008-11-01,126.8,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975,126.1,150.5,103.9
2008-12-01,133.9,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95,125.1,126.1,150.5
2009-01-01,128.4,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64,133.9,125.1,126.1
2009-02-01,120.7,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175,102.9,133.9,125.1
2009-03-01,117.6,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3,116.1,102.9,133.9
2009-04-01,100.0,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325,81.1,116.1,102.9
2009-05-01,84.8,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58,57.3,81.1,116.1
2009-06-01,106.1,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45,179.8,57.3,81.1
2009-07-01,124.0,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3,134.8,179.8,57.3
2009-08-01,145.5,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175,121.9,134.8,179.8
2009-09-01,149.0,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825,190.3,121.9,134.8
2009-10-01,144.5,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94,121.3,190.3,121.9
2009-11-01,144.9,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575,123.1,121.3,190.3
2009-12-01,116.0,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725,103.6,123.1,121.3
2010-01-01,115.3,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725,145.22,119.2,103.6,123.1
