,epu,epu-s,tpu,spi,spi-1,spi-2,spi-3,spi-4,spi-5,iron,r-steel,steel,auto,truck
2000-01-01,59.0,44,38.2,88,82,88,80,92,92,32.55,32.37,30.77,14.14,1403.42 
2000-02-01,15.9,9,14.7,88,82.25,88,82,95,94,34.9,33.57,31.31,11.93,1403.42 
2000-03-01,46.5,44,8.9,105.4,83.8,89.2,85.6,95.4,96.6,34.49,32.56,34.4,20.89,1403.42 
2000-04-01,28.3,35,8.9,103,105.25,108.5,96,97,99,35.44,33.98,36.61,21.89,1403.42 
2000-05-01,31.4,71,0.0,101,107.25,110.25,101,99,101,35.48,34.5,37.4,19.98,1403.42 
2000-06-01,43.2,37,18.0,100,100.8,103.4,102.4,100.4,100.4,37.05,34.83,36.81,19.05,1403.42 
2000-07-01,42.7,19,37.8,100,99.75,100.25,99.5,99.5,100.5,35.19,34.29,35.15,16.13,1403.42 
2000-08-01,27.4,27,17.7,100,100,100,100.75,101,100,35.45,34.16,36.06,17.28,1403.42 
2000-09-01,31.5,58,51.1,100,99.4,99.8,102,101.8,99,36.02,34.75,36.84,20.25,1403.42 
2000-10-01,42.3,71,58.6,100,99,98.5,103,102.25,97.5,36.49,34.9,36.87,17.8,1403.42 
2000-11-01,10.1,140,0.0,98.5,97,96.75,103.25,101.75,95.5,37.84,36.86,38.95,19.33,1403.42 
2000-12-01,48.5,113,40.4,97.2,95.6,94.4,102.2,100,94,37.15,37.41,38.4,19.82,1403.42 
2001-01-01,52.6,97,41.8,94.25,94,92.75,99.5,98.5,92.25,35.48,35.82,35.22,14.63,2133.83 
2001-02-01,40.7,65,21.6,95.25,96.75,95,99.5,96.75,90.5,37.77,36.7,40.4,18.73,2133.83 
2001-03-01,58.2,115,113.1,96.2,99.2,98.6,99.8,96,88.6,37.69,36.7,42.16,26.55,2133.83 
2001-04-01,26.1,107,37.1,96,100,99,99.75,94.75,88,38.58,36.8,43.59,24.93,2133.83 
2001-05-01,27.7,96,9.9,95.5,98.5,98.25,98.75,94,86.75,39.11,36.95,42.81,20.84,2133.83 
2001-06-01,41.3,54,46.8,93.6,96.4,95.2,98,93.4,85.4,41.16,38.96,45.64,20.82,2133.83 
2001-07-01,30.3,118,54.9,92,94.75,93.25,97,91.5,84.5,40.56,38.5,42.02,16.78,2133.83 
2001-08-01,38.8,131,35.0,90.2,93,91.8,96,89.6,81.8,39.71,38.35,42.87,18.78,2133.83 
2001-09-01,43.5,203,49.1,88.25,91.75,90,93.75,87.75,77.5,40.35,39.65,43.88,23.92,2133.83 
2001-10-01,51.1,297,89.2,86.5,90.5,88,92,85.5,74.5,40.03,40.86,43.65,20.34,2133.83 
2001-11-01,53.3,129,134.7,83.8,88,86.4,87.8,82.8,71,41.59,42.91,46.12,21.12,2133.83 
2001-12-01,60.7,137,160.3,81.5,84.75,85.5,84,81.75,69,41.4,46.29,45.32,20.25,2133.83 
2002-01-01,62.4,160,94.2,81.75,84.75,86.75,82.25,81,68,41.7,44.12,44.97,20.96,2748.08 
