,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4,spiw-4
2000-03-10,92.00,92.00,92.00,92.00,95.00,95.00,95.00,95.00,95.00,95.00
2000-03-17,92.00,92.00,92.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00
2000-03-24,92.00,92.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00
2000-03-31,92.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,97.00
2000-04-07,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,97.00,97.00
2000-04-14,95.00,95.00,95.00,95.00,95.00,95.00,95.00,97.00,97.00,97.00
2000-04-21,95.00,95.00,95.00,95.00,95.00,95.00,97.00,97.00,97.00,97.00
2000-04-28,95.00,95.00,95.00,95.00,95.00,97.00,97.00,97.00,97.00,97.00
2000-05-05,95.00,95.00,95.00,95.00,97.00,97.00,97.00,97.00,97.00,99.00
2000-05-12,95.00,95.00,95.00,97.00,97.00,97.00,97.00,97.00,99.00,99.00
2000-05-19,95.00,95.00,97.00,97.00,97.00,97.00,97.00,99.00,99.00,99.00
2000-05-26,95.00,97.00,97.00,97.00,97.00,97.00,99.00,99.00,99.00,99.00
2000-06-02,97.00,97.00,97.00,97.00,97.00,99.00,99.00,99.00,99.00,101.00
2000-06-09,97.00,97.00,97.00,97.00,99.00,99.00,99.00,99.00,101.00,101.00
2000-06-16,97.00,97.00,97.00,99.00,99.00,99.00,99.00,101.00,101.00,101.00
2000-06-23,97.00,97.00,99.00,99.00,99.00,99.00,101.00,101.00,101.00,101.00
2000-06-30,97.00,99.00,99.00,99.00,99.00,101.00,101.00,101.00,101.00,98.00
2000-07-07,99.00,99.00,99.00,99.00,101.00,101.00,101.00,101.00,98.00,99.00
2000-07-14,99.00,99.00,99.00,101.00,101.00,101.00,101.00,98.00,99.00,100.00
2000-07-21,99.00,99.00,101.00,101.00,101.00,101.00,98.00,99.00,100.00,99.00
2000-07-28,99.00,101.00,101.00,101.00,101.00,98.00,99.00,100.00,99.00,100.00
2000-08-04,101.00,101.00,101.00,101.00,98.00,99.00,100.00,99.00,100.00,101.00
2000-08-11,101.00,101.00,101.00,98.00,99.00,100.00,99.00,100.00,101.00,101.00
2000-08-18,101.00,101.00,98.00,99.00,100.00,99.00,100.00,101.00,101.00,101.00
2000-08-25,101.00,98.00,99.00,100.00,99.00,100.00,101.00,101.00,101.00,101.00
2000-09-01,98.00,99.00,100.00,99.00,100.00,101.00,101.00,101.00,101.00,101.00
2000-09-08,99.00,100.00,99.00,100.00,101.00,101.00,101.00,101.00,101.00,101.00
2000-09-15,100.00,99.00,100.00,101.00,101.00,101.00,101.00,101.00,101.00,102.00
2000-09-22,99.00,100.00,101.00,101.00,101.00,101.00,101.00,101.00,102.00,102.00
2000-09-29,100.00,101.00,101.00,101.00,101.00,101.00,101.00,102.00,102.00,103.00
2000-10-06,101.00,101.00,101.00,101.00,101.00,101.00,102.00,102.00,103.00,103.00
2000-10-13,101.00,101.00,101.00,101.00,101.00,102.00,102.00,103.00,103.00,102.00
2000-10-20,101.00,101.00,101.00,101.00,102.00,102.00,103.00,103.00,102.00,102.00
2000-10-27,101.00,101.00,101.00,102.00,102.00,103.00,103.00,102.00,102.00,102.00
2000-11-03,101.00,101.00,102.00,102.00,103.00,103.00,102.00,102.00,102.00,102.00
2000-11-10,101.00,102.00,102.00,103.00,103.00,102.00,102.00,102.00,102.00,102.00
2000-11-17,102.00,102.00,103.00,103.00,102.00,102.00,102.00,102.00,102.00,102.00
2000-11-24,102.00,103.00,103.00,102.00,102.00,102.00,102.00,102.00,102.00,101.00
2000-12-01,103.00,103.00,102.00,102.00,102.00,102.00,102.00,102.00,101.00,100.00
2000-12-08,103.00,102.00,102.00,102.00,102.00,102.00,102.00,101.00,100.00,100.00
2000-12-15,102.00,102.00,102.00,102.00,102.00,102.00,101.00,100.00,100.00,99.00
2000-12-22,102.00,102.00,102.00,102.00,102.00,101.00,100.00,100.00,99.00,100.00
2000-12-29,102.00,102.00,102.00,102.00,101.00,100.00,100.00,99.00,100.00,101.00
2001-01-05,102.00,102.00,102.00,101.00,100.00,100.00,99.00,100.00,101.00,99.00
2001-01-12,102.00,102.00,101.00,100.00,100.00,99.00,100.00,101.00,99.00,99.00
2001-01-19,102.00,101.00,100.00,100.00,99.00,100.00,101.00,99.00,99.00,98.00
2001-01-26,101.00,100.00,100.00,99.00,100.00,101.00,99.00,99.00,98.00,98.00
2001-02-02,100.00,100.00,99.00,100.00,101.00,99.00,99.00,98.00,98.00,98.00
2001-02-09,100.00,99.00,100.00,101.00,99.00,99.00,98.00,98.00,98.00,97.00
2001-02-16,99.00,100.00,101.00,99.00,99.00,98.00,98.00,98.00,97.00,96.00
2001-02-23,100.00,101.00,99.00,99.00,98.00,98.00,98.00,97.00,96.00,96.00
2001-03-02,101.00,99.00,99.00,98.00,98.00,98.00,97.00,96.00,96.00,96.00
2001-03-09,99.00,99.00,98.00,98.00,98.00,97.00,96.00,96.00,96.00,96.00
2001-03-16,99.00,98.00,98.00,98.00,97.00,96.00,96.00,96.00,96.00,96.00
2001-03-23,98.00,98.00,98.00,97.00,96.00,96.00,96.00,96.00,96.00,96.00
2001-03-30,98.00,98.00,97.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00
2001-04-06,98.00,97.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,95.00
2001-04-13,97.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,95.00,95.00
2001-04-20,96.00,96.00,96.00,96.00,96.00,96.00,96.00,95.00,95.00,95.00
2001-04-27,96.00,96.00,96.00,96.00,96.00,96.00,95.00,95.00,95.00,94.00
2001-05-04,96.00,96.00,96.00,96.00,96.00,95.00,95.00,95.00,94.00,94.00
2001-05-11,96.00,96.00,96.00,96.00,95.00,95.00,95.00,94.00,94.00,94.00
2001-05-18,96.00,96.00,96.00,95.00,95.00,95.00,94.00,94.00,94.00,94.00
2001-05-25,96.00,96.00,95.00,95.00,95.00,94.00,94.00,94.00,94.00,94.00
2001-06-01,96.00,95.00,95.00,95.00,94.00,94.00,94.00,94.00,94.00,94.00
2001-06-08,95.00,95.00,95.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00
2001-06-15,95.00,95.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00
2001-06-22,95.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00
2001-06-29,94.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00,93.00
2001-07-06,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00,93.00,92.00
2001-07-13,94.00,94.00,94.00,94.00,94.00,93.00,93.00,93.00,92.00,92.00
2001-07-20,94.00,94.00,94.00,94.00,93.00,93.00,93.00,92.00,92.00,91.00
2001-07-27,94.00,94.00,94.00,93.00,93.00,93.00,92.00,92.00,91.00,91.00
2001-08-03,94.00,94.00,93.00,93.00,93.00,92.00,92.00,91.00,91.00,90.00
2001-08-10,94.00,93.00,93.00,93.00,92.00,92.00,91.00,91.00,90.00,90.00
2001-08-17,93.00,93.00,93.00,92.00,92.00,91.00,91.00,90.00,90.00,90.00
2001-08-24,93.00,93.00,92.00,92.00,91.00,91.00,90.00,90.00,90.00,89.00
2001-08-31,93.00,92.00,92.00,91.00,91.00,90.00,90.00,90.00,89.00,89.00
2001-09-07,92.00,92.00,91.00,91.00,90.00,90.00,90.00,89.00,89.00,89.00
2001-09-14,92.00,91.00,91.00,90.00,90.00,90.00,89.00,89.00,89.00,88.00
2001-09-21,91.00,91.00,90.00,90.00,90.00,89.00,89.00,89.00,88.00,87.00
2001-09-28,91.00,90.00,90.00,90.00,89.00,89.00,89.00,88.00,87.00,87.00
2001-10-05,90.00,90.00,90.00,89.00,89.00,89.00,88.00,87.00,87.00,86.00
2001-10-12,90.00,90.00,89.00,89.00,89.00,88.00,87.00,87.00,86.00,86.00
2001-10-19,90.00,89.00,89.00,89.00,88.00,87.00,87.00,86.00,86.00,86.00
2001-10-26,89.00,89.00,89.00,88.00,87.00,87.00,86.00,86.00,86.00,84.00
2001-11-02,89.00,89.00,88.00,87.00,87.00,86.00,86.00,86.00,84.00,84.00
2001-11-09,89.00,88.00,87.00,87.00,86.00,86.00,86.00,84.00,84.00,83.00
2001-11-16,88.00,87.00,87.00,86.00,86.00,86.00,84.00,84.00,83.00,82.00
2001-11-23,87.00,87.00,86.00,86.00,86.00,84.00,84.00,83.00,82.00,83.00
2001-11-30,87.00,86.00,86.00,86.00,84.00,84.00,83.00,82.00,83.00,82.00
2001-12-07,86.00,86.00,86.00,84.00,84.00,83.00,82.00,83.00,82.00,82.00
2001-12-14,86.00,86.00,84.00,84.00,83.00,82.00,83.00,82.00,82.00,82.00
2001-12-21,86.00,84.00,84.00,83.00,82.00,83.00,82.00,82.00,82.00,82.00
2001-12-28,84.00,84.00,83.00,82.00,83.00,82.00,82.00,82.00,82.00,81.00
2002-01-04,84.00,83.00,82.00,83.00,82.00,82.00,82.00,82.00,81.00,81.00
2002-01-11,83.00,82.00,83.00,82.00,82.00,82.00,82.00,81.00,81.00,81.00
2002-01-18,82.00,83.00,82.00,82.00,82.00,82.00,81.00,81.00,81.00,81.00
2002-01-25,83.00,82.00,82.00,82.00,82.00,81.00,81.00,81.00,81.00,81.00
2002-02-01,82.00,82.00,82.00,82.00,81.00,81.00,81.00,81.00,81.00,81.00
2002-02-08,82.00,82.00,82.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00
2002-02-15,82.00,82.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00
2002-02-22,82.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,83.00
2002-03-01,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,83.00,83.00
2002-03-08,81.00,81.00,81.00,81.00,81.00,81.00,81.00,83.00,83.00,84.00
2002-03-15,81.00,81.00,81.00,81.00,81.00,81.00,83.00,83.00,84.00,85.00
2002-03-22,81.00,81.00,81.00,81.00,81.00,83.00,83.00,84.00,85.00,87.00
2002-03-29,81.00,81.00,81.00,81.00,83.00,83.00,84.00,85.00,87.00,87.00
2002-04-05,81.00,81.00,81.00,83.00,83.00,84.00,85.00,87.00,87.00,88.00
