,spi-5,spi-5,spi-5,spi-5,spi-5,spi-5,spi-5,spi-5,spi-5,spi-5
2000-10-01,92,94,96.6,99,101,100.4,100.5,100,99,97.5
2000-11-01,94,96.6,99,101,100.4,100.5,100,99,97.5,95.5
2000-12-01,96.6,99,101,100.4,100.5,100,99,97.5,95.5,94
2001-01-01,99,101,100.4,100.5,100,99,97.5,95.5,94,92.25
2001-02-01,101,100.4,100.5,100,99,97.5,95.5,94,92.25,90.5
2001-03-01,100.4,100.5,100,99,97.5,95.5,94,92.25,90.5,88.6
2001-04-01,100.5,100,99,97.5,95.5,94,92.25,90.5,88.6,88
2001-05-01,100,99,97.5,95.5,94,92.25,90.5,88.6,88,86.75
2001-06-01,99,97.5,95.5,94,92.25,90.5,88.6,88,86.75,85.4
2001-07-01,97.5,95.5,94,92.25,90.5,88.6,88,86.75,85.4,84.5
2001-08-01,95.5,94,92.25,90.5,88.6,88,86.75,85.4,84.5,81.8
2001-09-01,94,92.25,90.5,88.6,88,86.75,85.4,84.5,81.8,77.5
2001-10-01,92.25,90.5,88.6,88,86.75,85.4,84.5,81.8,77.5,74.5
2001-11-01,90.5,88.6,88,86.75,85.4,84.5,81.8,77.5,74.5,71
2001-12-01,88.6,88,86.75,85.4,84.5,81.8,77.5,74.5,71,69
2002-01-01,88,86.75,85.4,84.5,81.8,77.5,74.5,71,69,68
2002-02-01,86.75,85.4,84.5,81.8,77.5,74.5,71,69,68,69.25
2002-03-01,85.4,84.5,81.8,77.5,74.5,71,69,68,69.25,74
2002-04-01,84.5,81.8,77.5,74.5,71,69,68,69.25,74,82.5
2002-05-01,81.8,77.5,74.5,71,69,68,69.25,74,82.5,93.2
2002-06-01,77.5,74.5,71,69,68,69.25,74,82.5,93.2,93.75
2002-07-01,74.5,71,69,68,69.25,74,82.5,93.2,93.75,91.75
2002-08-01,71,69,68,69.25,74,82.5,93.2,93.75,91.75,93.4
2002-09-01,69,68,69.25,74,82.5,93.2,93.75,91.75,93.4,97
2002-10-01,68,69.25,74,82.5,93.2,93.75,91.75,93.4,97,98.5
2002-11-01,69.25,74,82.5,93.2,93.75,91.75,93.4,97,98.5,99.6
2002-12-01,74,82.5,93.2,93.75,91.75,93.4,97,98.5,99.6,104.5
2003-01-01,82.5,93.2,93.75,91.75,93.4,97,98.5,99.6,104.5,112.6
2003-02-01,93.2,93.75,91.75,93.4,97,98.5,99.6,104.5,112.6,115.75
2003-03-01,93.75,91.75,93.4,97,98.5,99.6,104.5,112.6,115.75,112.75
2003-04-01,91.75,93.4,97,98.5,99.6,104.5,112.6,115.75,112.75,104.25
2003-05-01,93.4,97,98.5,99.6,104.5,112.6,115.75,112.75,104.25,97.4
2003-06-01,97,98.5,99.6,104.5,112.6,115.75,112.75,104.25,97.4,94.5
2003-07-01,98.5,99.6,104.5,112.6,115.75,112.75,104.25,97.4,94.5,100.5
2003-08-01,99.6,104.5,112.6,115.75,112.75,104.25,97.4,94.5,100.5,102.2
2003-09-01,104.5,112.6,115.75,112.75,104.25,97.4,94.5,100.5,102.2,104
2003-10-01,112.6,115.75,112.75,104.25,97.4,94.5,100.5,102.2,104,107.2
2003-11-01,115.75,112.75,104.25,97.4,94.5,100.5,102.2,104,107.2,109.5
2003-12-01,112.75,104.25,97.4,94.5,100.5,102.2,104,107.2,109.5,111.25
2004-01-01,104.25,97.4,94.5,100.5,102.2,104,107.2,109.5,111.25,115.8
2004-02-01,97.4,94.5,100.5,102.2,104,107.2,109.5,111.25,115.8,125.75
2004-03-01,94.5,100.5,102.2,104,107.2,109.5,111.25,115.8,125.75,127.5
2004-04-01,100.5,102.2,104,107.2,109.5,111.25,115.8,125.75,127.5,129.2
2004-05-01,102.2,104,107.2,109.5,111.25,115.8,125.75,127.5,129.2,120
2004-06-01,104,107.2,109.5,111.25,115.8,125.75,127.5,129.2,120,119
2004-07-01,107.2,109.5,111.25,115.8,125.75,127.5,129.2,120,119,125.2
2004-08-01,109.5,111.25,115.8,125.75,127.5,129.2,120,119,125.2,131
2004-09-01,111.25,115.8,125.75,127.5,129.2,120,119,125.2,131,135.5
2004-10-01,115.8,125.75,127.5,129.2,120,119,125.2,131,135.5,139
2004-11-01,125.75,127.5,129.2,120,119,125.2,131,135.5,139,143.25
2004-12-01,127.5,129.2,120,119,125.2,131,135.5,139,143.25,150.4
2005-01-01,129.2,120,119,125.2,131,135.5,139,143.25,150.4,161.5
2005-02-01,120,119,125.2,131,135.5,139,143.25,150.4,161.5,165.25
2005-03-01,119,125.2,131,135.5,139,143.25,150.4,161.5,165.25,172.5
2005-04-01,125.2,131,135.5,139,143.25,150.4,161.5,165.25,172.5,166.6
2005-05-01,131,135.5,139,143.25,150.4,161.5,165.25,172.5,166.6,159
2005-06-01,135.5,139,143.25,150.4,161.5,165.25,172.5,166.6,159,142.75
2005-07-01,139,143.25,150.4,161.5,165.25,172.5,166.6,159,142.75,132.6
2005-08-01,143.25,150.4,161.5,165.25,172.5,166.6,159,142.75,132.6,133
2005-09-01,150.4,161.5,165.25,172.5,166.6,159,142.75,132.6,133,128.4
2005-10-01,161.5,165.25,172.5,166.6,159,142.75,132.6,133,128.4,115.75
