,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2000-03-10,88.00,88.00,88.00,88.00,88.00,88.00,88.00,88.00,106.00,106.00
2000-03-17,88.00,88.00,88.00,88.00,88.00,88.00,88.00,106.00,106.00,106.00
2000-03-24,88.00,88.00,88.00,88.00,88.00,88.00,106.00,106.00,106.00,106.00
2000-03-31,88.00,88.00,88.00,88.00,88.00,106.00,106.00,106.00,106.00,103.00
2000-04-07,88.00,88.00,88.00,88.00,106.00,106.00,106.00,106.00,103.00,103.00
2000-04-14,88.00,88.00,88.00,106.00,106.00,106.00,106.00,103.00,103.00,103.00
2000-04-21,88.00,88.00,106.00,106.00,106.00,106.00,103.00,103.00,103.00,103.00
2000-04-28,88.00,106.00,106.00,106.00,106.00,103.00,103.00,103.00,103.00,103.00
2000-05-05,106.00,106.00,106.00,106.00,103.00,103.00,103.00,103.00,103.00,101.00
2000-05-12,106.00,106.00,106.00,103.00,103.00,103.00,103.00,103.00,101.00,101.00
2000-05-19,106.00,106.00,103.00,103.00,103.00,103.00,103.00,101.00,101.00,101.00
2000-05-26,106.00,103.00,103.00,103.00,103.00,103.00,101.00,101.00,101.00,101.00
2000-06-02,103.00,103.00,103.00,103.00,103.00,101.00,101.00,101.00,101.00,100.00
2000-06-09,103.00,103.00,103.00,103.00,101.00,101.00,101.00,101.00,100.00,100.00
2000-06-16,103.00,103.00,103.00,101.00,101.00,101.00,101.00,100.00,100.00,100.00
2000-06-23,103.00,103.00,101.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00
2000-06-30,103.00,101.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00,100.00
2000-07-07,101.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-07-14,101.00,101.00,101.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-07-21,101.00,101.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-07-28,101.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-08-04,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-08-11,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-08-18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-08-25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-09-01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000-09-08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
